Rank;Bib;FIS Code;Last Name;First Name;Year of Birth;NSA Code;Time;Difference;Distance (m);Race Points;Ski;Race Day
16;10;192746;THEAUX;Adrien;1984;FRA;2:36.90;1.59;44.74;13.62;Salomon;14.01.2012
17;24;201606;KEPPLER;Stephan;1983;GER;2:36.99;1.68;47.25;14.39;Head;14.01.2012
18;8;191740;CLAREY;Johan;1981;FRA;2:37.03;1.72;48.36;14.73;Head;14.01.2012
19;6;510767;HOFFMANN;Ambrosi;1977;SUI;2:37.23;1.92;53.91;16.44;Nordica;14.01.2012
20;31;421483;JANSRUD;Kjetil;1985;NOR;2:37.34;2.03;56.96;17.38;Head;14.01.2012
21;29;292514;HEEL;Werner;1982;ITA;2:37.56;2.25;63.05;19.27;Head;14.01.2012
22;28;102271;HUDEC;Jan;1981;CAN;2:37.61;2.3;64.43;19.7;Rossignol;14.01.2012
23;2;192932;FAYED;Guillermo;1985;FRA;2:37.63;2.32;64.98;19.87;Head;14.01.2012
24;30;560447;SPORN;Andrej;1981;SLO;2:37.71;2.4;67.19;20.55;Elan;14.01.2012
25;12;51327;PUCHNER;Joachim;1987;AUT;2:37.74;2.43;68.01;20.81;Atomic;14.01.2012
26;3;50858;STREITBERGER;Georg;1981;AUT;2:37.80;2.49;69.67;21.32;Fischer;14.01.2012
27;36;533131;SULLIVAN;Marco;1980;USA;2:37.90;2.59;72.42;22.18;Rossignol;14.01.2012
28;51;294277;KLOTZ;Siegmar;1987;ITA;2:37.93;2.62;73.24;22.44;Nordica;14.01.2012
29;20;510727;DEFAGO;Didier;1977;SUI;2:37.98;2.67;74.62;22.86;Rossignol;14.01.2012
30;26;191591;BERTRAND;Yannick;1980;FRA;2:37.99;2.68;74.89;22.95;Atomic;14.01.2012
31;4;501076;OLSSON;Hans;1984;SWE;2:38.19;2.88;80.38;24.66;Head;14.01.2012
32;48;191964;POISSON;David;1982;FRA;2:38.30;2.99;83.39;25.6;Salomon;14.01.2012
33;39;293550;MARSAGLIA;Matteo;1985;ITA;2:38.50;3.19;88.86;27.32;Rossignol;14.01.2012
34;33;534939;FISHER;Erik;1985;USA;2:38.51;3.2;89.13;27.4;Atomic;14.01.2012
35;32;201811;STECHERT;Tobias;1985;GER;2:38.90;3.59;99.75;30.74;Head;14.01.2012
36;44;180570;ROMAR;Andreas;1989;FIN;2:38.96;3.65;101.38;31.26;Atomic;14.01.2012
37;50;103271;THOMSEN;Benjamin;1987;CAN;2:39.12;3.81;105.71;32.63;Head;14.01.2012
38;27;380260;KOSTELIC;Ivica;1979;CRO;2:39.15;3.84;106.53;32.88;Fischer;14.01.2012
39;37;530874;GANONG;Travis;1988;USA;2:39.21;3.9;108.15;33.4;Atomic;14.01.2012
40;15;51005;SCHEIBER;Mario;1983;AUT;2:39.31;4;110.85;34.25;Atomic;14.01.2012
41;42;500150;JAERBYN;Patrik;1969;SWE;2:39.33;4.02;111.39;34.43;Atomic;14.01.2012
42;54;53902;MAYER;Matthias;1990;AUT;2:39.53;4.22;116.79;36.14;Head;14.01.2012
43;34;102961;DIXON;Robbie;1985;CAN;2:39.56;4.25;117.6;36.39;Rossignol;14.01.2012
44;40;200379;SANDER;Andreas;1989;GER;2:39.69;4.38;121.1;37.51;Atomic;14.01.2012
45;46;380292;ZRNCIC−DIM;Natko;1986;CRO;2:39.81;4.5;124.32;38.54;Atomic;14.01.2012
46;41;53817;FRANZ;Max;1989;AUT;2:39.96;4.65;128.34;39.82;Atomic;14.01.2012
47;43;930024;MAPLE;Wiley;1990;USA;2:40.00;4.69;129.41;40.16;Atomic;14.01.2012
48;35;530939;WEIBRECHT;Andrew;1986;USA;2:40.01;4.7;129.68;40.25;Rossignol;14.01.2012
49;38;53837;KRAMER;Manuel;1989;AUT;2:40.42;5.11;140.63;43.76;Atomic;14.01.2012
50;47;294911;PATSCHEIDER;Hagen;1988;ITA;2:40.62;5.31;145.96;45.47;Atomic;14.01.2012
51;56;561085;KRIZAJ;Andrej;1986;SLO;2:40.84;5.53;151.8;47.36;Elan;14.01.2012
52;45;561087;MARKIC;Gasper;1986;SLO;2:40.86;5.55;152.33;47.53;Elan;14.01.2012
53;49;561067;PERKO;Rok;1985;SLO;2:41.41;6.1;166.85;52.24;Stoeckli;14.01.2012
54;53;103385;PRIDY;Conrad;1988;CAN;2:42.37;7.06;191.97;60.46;Atomic;14.01.2012
55;58;90131;GEORGIEV;Georgi;1987;BUL;2:43.56;8.25;222.69;70.65;Atomic;14.01.2012
56;57;380298;SIROKI;Tin;1987;CRO;2:44.32;9.01;242.08;77.16;Atomic;14.01.2012
57;59;430472;KLUSAK;Michal;1990;POL;2:45.15;9.84;263.06;84.27;Unknown;14.01.2012
1;12;50753;KROELL;Klaus;1980;AUT;2:31.28;0;0;0;Salomon;15.01.2011
2;21;510030;CUCHE;Didier;1974;SUI;2:31.42;0.14;4.1;1.23;Head;15.01.2011
3;16;511313;JANKA;Carlo;1986;SUI;2:31.67;0.39;11.39;3.43;Atomic;15.01.2011
4;3;560332;JERMAN;Andrej;1978;SLO;2:31.72;0.44;12.85;3.87;Stoeckli;15.01.2011
5;14;292514;HEEL;Werner;1982;ITA;2:32.53;1.25;36.3;10.99;Head;15.01.2011
6;10;51215;BAUMANN;Romed;1986;AUT;2:32.56;1.28;37.17;11.25;Salomon;15.01.2011
7;1;293006;INNERHOFER;Christof;1984;ITA;2:32.66;1.38;40.05;12.13;Rossignol;15.01.2011
8;11;532431;MILLER;Bode;1977;USA;2:32.71;1.43;41.48;12.57;Head;15.01.2011
9;19;51005;SCHEIBER;Mario;1983;AUT;2:32.98;1.7;49.23;14.95;Atomic;15.01.2011
10;13;501076;OLSSON;Hans;1984;SWE;2:33.04;1.76;50.95;15.47;Head;15.01.2011
11;20;50041;WALCHHOFER;Michael;1975;AUT;2:33.11;1.83;52.95;16.09;Atomic;15.01.2011
12;2;380260;KOSTELIC;Ivica;1979;CRO;2:33.15;1.87;54.09;16.44;Fischer;15.01.2011
13;22;510890;ZURBRIGGEN;Silvan;1981;SUI;2:33.23;1.95;56.38;17.14;Rossignol;15.01.2011
13;5;192746;THEAUX;Adrien;1984;FRA;2:33.23;1.95;56.38;17.14;Salomon;15.01.2011
15;17;421328;SVINDAL;Aksel Lund;1982;NOR;2:33.24;1.96;56.66;17.23;Head;15.01.2011
16;24;50858;STREITBERGER;Georg;1981;AUT;2:33.28;2;57.8;17.58;Fischer;15.01.2011
17;8;50833;GRUGGER;Hans;1981;AUT;2:33.49;2.21;63.78;19.43;Head;15.01.2011
18;23;510767;HOFFMANN;Ambrosi;1977;SUI;2:33.67;2.39;68.9;21.01;Unknown;15.01.2011
19;9;292455;FILL;Peter;1982;ITA;2:33.95;2.67;76.83;23.47;Atomic;15.01.2011
20;7;192932;FAYED;Guillermo;1985;FRA;2:33.96;2.68;77.11;23.56;Head;15.01.2011
21;29;102271;HUDEC;Jan;1981;CAN;2:34.02;2.74;78.81;24.09;Rossignol;15.01.2011
22;35;51327;PUCHNER;Joachim;1987;AUT;2:34.03;2.75;79.09;24.18;Atomic;15.01.2011
23;18;102899;OSBORNE−PARADIS;Manuel;1984;CAN;2:34.04;2.76;79.37;24.26;Rossignol;15.01.2011
24;15;560447;SPORN;Andrej;1981;SLO;2:34.16;2.88;82.76;25.32;Elan;15.01.2011
25;33;291459;PARIS;Dominik;1989;ITA;2:34.17;2.89;83.04;25.41;Nordica;15.01.2011
26;43;294911;PATSCHEIDER;Hagen;1988;ITA;2:34.44;3.16;90.64;27.78;Atomic;15.01.2011
27;34;294277;KLOTZ;Siegmar;1987;ITA;2:34.69;3.41;97.66;29.98;Nordica;15.01.2011
28;36;530874;GANONG;Travis;1988;USA;2:34.86;3.58;102.41;31.47;Atomic;15.01.2011
29;52;193034;BOUILLOT;Alexandre;1985;FRA;2:35.47;4.19;119.39;36.84;Unknown;15.01.2011
30;39;191591;BERTRAND;Yannick;1980;FRA;2:35.53;4.25;121.05;37.36;Atomic;15.01.2011
31;45;201811;STECHERT;Tobias;1985;GER;2:35.58;4.3;122.44;37.8;Head;15.01.2011
31;38;510498;ZUEGER;Cornel;1981;SUI;2:35.58;4.3;122.44;37.8;Stoeckli;15.01.2011
31;32;534562;LIGETY;Ted;1984;USA;2:35.58;4.3;122.44;37.8;Head;15.01.2011
34;44;292291;THANEI;Stefan;1981;ITA;2:35.67;4.39;124.93;38.6;Fischer;15.01.2011
35;40;290998;STAUDACHER;Patrick;1980;ITA;2:35.95;4.67;132.66;41.06;Head;15.01.2011
36;46;180570;ROMAR;Andreas;1989;FIN;2:36.04;4.76;135.14;41.85;Atomic;15.01.2011
37;49;293550;MARSAGLIA;Matteo;1985;ITA;2:36.19;4.91;139.26;43.17;Rossignol;15.01.2011
38;47;294904;PANGRAZZI;Paolo;1988;ITA;2:36.28;5;141.73;43.96;Rossignol;15.01.2011
39;41;561067;PERKO;Rok;1985;SLO;2:36.37;5.09;144.2;44.75;Stoeckli;15.01.2011
40;31;421483;JANSRUD;Kjetil;1985;NOR;2:36.54;5.26;148.86;46.24;Head;15.01.2011
41;27;191964;POISSON;David;1982;FRA;2:37.28;6;169;52.75;Salomon;15.01.2011
42;51;930024;MAPLE;Wiley;1990;USA;2:38.57;7.29;203.66;64.09;Atomic;15.01.2011
43;54;380298;SIROKI;Tin;1987;CRO;2:38.72;7.44;207.66;65.41;Atomic;15.01.2011
44;50;910004;DEFLORIAN;Mirko;1980;MDA;2:39.08;7.8;217.21;68.57;Unknown;15.01.2011
45;55;20267;ESTEVE RIGAIL;Kevin;1989;AND;2:40.90;9.62;264.86;84.58;Unknown;15.01.2011
46;57;60159;VAN BUYNDER;Frederik;1988;BEL;2:41.25;9.97;273.9;87.65;Unknown;15.01.2011
47;56;430472;KLUSAK;Michal;1990;POL;2:43.78;12.5;338.11;109.9;Unknown;15.01.2011
1;18;511313;JANKA;Carlo;1986;SUI;2:32.23;0;0;0;Atomic;16.01.2010
2;16;102899;OSBORNE−PARADIS;Manuel;1984;CAN;2:32.89;0.66;19.27;5.72;Rossignol;16.01.2010
3;9;350032;BUECHEL;Marco;1971;LIE;2:33.05;0.82;23.92;7.11;Head;16.01.2010
4;10;292514;HEEL;Werner;1982;ITA;2:33.06;0.83;24.21;7.2;Rossignol;16.01.2010
5;21;510030;CUCHE;Didier;1974;SUI;2:33.09;0.86;25.08;7.46;Head;16.01.2010
5;15;560332;JERMAN;Andrej;1978;SLO;2:33.09;0.86;25.08;7.46;Stoeckli;16.01.2010
7;19;510727;DEFAGO;Didier;1977;SUI;2:33.61;1.38;40.11;11.97;Rossignol;16.01.2010
8;25;292455;FILL;Peter;1982;ITA;2:33.70;1.47;42.7;12.75;Atomic;16.01.2010
9;17;50753;KROELL;Klaus;1980;AUT;2:33.83;1.6;46.44;13.87;Salomon;16.01.2010
10;3;50858;STREITBERGER;Georg;1981;AUT;2:33.86;1.63;47.3;14.13;Fischer;16.01.2010
11;1;511139;KUENG;Patrick;1984;SUI;2:33.96;1.73;50.17;15;Salomon;16.01.2010
12;14;501076;OLSSON;Hans;1984;SWE;2:34.04;1.81;52.46;15.69;Head;16.01.2010
13;7;530939;WEIBRECHT;Andrew;1986;USA;2:34.09;1.86;53.9;16.13;Rossignol;16.01.2010
14;4;192746;THEAUX;Adrien;1984;FRA;2:34.21;1.98;57.33;17.17;Rossignol;16.01.2010
15;20;421328;SVINDAL;Aksel Lund;1982;NOR;2:34.24;2.01;58.19;17.43;Atomic;16.01.2010
16;22;50041;WALCHHOFER;Michael;1975;AUT;2:34.52;2.29;66.17;19.86;Atomic;16.01.2010
17;11;293006;INNERHOFER;Christof;1984;ITA;2:34.60;2.37;68.45;20.55;Rossignol;16.01.2010
18;13;102263;GUAY;Erik;1981;CAN;2:34.86;2.63;75.83;22.8;Atomic;16.01.2010
19;6;500150;JAERBYN;Patrik;1969;SWE;2:34.93;2.7;77.81;23.41;Atomic;16.01.2010
20;31;380260;KOSTELIC;Ivica;1979;CRO;2:35.01;2.78;80.08;24.11;Fischer;16.01.2010
21;5;533866;NYMAN;Steven;1982;USA;2:35.10;2.87;82.62;24.89;Fischer;16.01.2010
22;43;291459;PARIS;Dominik;1989;ITA;2:35.13;2.9;83.47;25.15;Nordica;16.01.2010
23;26;510747;GRUENENFELDER;Tobias;1977;SUI;2:35.15;2.92;84.03;25.32;Stoeckli;16.01.2010
24;36;292291;THANEI;Stefan;1981;ITA;2:35.16;2.93;84.32;25.41;Atomic;16.01.2010
25;27;191740;CLAREY;Johan;1981;FRA;2:35.17;2.94;84.6;25.49;Rossignol;16.01.2010
26;46;380292;ZRNCIC−DIM;Natko;1986;CRO;2:35.31;3.08;88.55;26.71;Atomic;16.01.2010
27;32;560447;SPORN;Andrej;1981;SLO;2:35.45;3.22;92.49;27.92;Elan;16.01.2010
28;2;534939;FISHER;Erik;1985;USA;2:35.66;3.43;98.39;29.74;Atomic;16.01.2010
29;30;50833;GRUGGER;Hans;1981;AUT;2:35.67;3.44;98.67;29.83;Head;16.01.2010
30;29;51005;SCHEIBER;Mario;1983;AUT;2:35.95;3.72;106.51;32.26;Atomic;16.01.2010
31;42;192932;FAYED;Guillermo;1985;FRA;2:36.32;4.09;116.82;35.46;Dynastar;16.01.2010
32;35;201606;KEPPLER;Stephan;1983;GER;2:36.44;4.21;120.16;36.51;Head;16.01.2010
33;24;290998;STAUDACHER;Patrick;1980;ITA;2:36.49;4.26;121.55;36.94;Head;16.01.2010
34;41;561067;PERKO;Rok;1985;SLO;2:36.64;4.41;125.71;38.24;Stoeckli;16.01.2010
35;45;511039;KREUZER;Ralf;1983;SUI;2:36.65;4.42;125.98;38.33;Salomon;16.01.2010
36;28;533131;SULLIVAN;Marco;1980;USA;2:37.28;5.05;143.36;43.79;Nordica;16.01.2010
37;47;990081;CASSE;Mattia;1990;ITA;2:37.33;5.1;144.74;44.22;Rossignol;16.01.2010
38;51;561085;KRIZAJ;Andrej;1986;SLO;2:37.53;5.3;150.22;45.96;Stoeckli;16.01.2010
39;53;103375;NELLA;Tyler;1988;CAN;2:37.64;5.41;153.23;46.91;Unknown;16.01.2010
40;34;102271;HUDEC;Jan;1981;CAN;2:37.65;5.42;153.51;47;Rossignol;16.01.2010
41;33;532490;MACARTNEY;Scott;1978;USA;2:37.82;5.59;158.15;48.47;Nordica;16.01.2010
42;49;511383;FEUZ;Beat;1987;SUI;2:38.19;5.96;168.22;51.68;Salomon;16.01.2010
43;52;530874;GANONG;Travis;1988;USA;2:38.46;6.23;175.55;54.02;Voelkl;16.01.2010
44;48;201987;STRODL;Andreas;1987;GER;2:38.50;6.27;176.63;54.37;Atomic;16.01.2010
45;39;561087;MARKIC;Gasper;1986;SLO;2:38.93;6.7;188.23;58.1;Elan;16.01.2010
46;54;20174;VIDOSA;Roger;1984;AND;2:42.72;10.49;287.84;90.96;Unknown;16.01.2010
47;55;60159;VAN BUYNDER;Frederik;1988;BEL;2:43.09;10.86;297.32;94.17;Unknown;16.01.2010
1;15;510727;DEFAGO;Didier;1977;SUI;2:31.98;0;0;0;Rossignol;17.01.2009
2;16;532431;MILLER;Bode;1977;USA;2:32.18;0.2;5.89;1.74;Head;17.01.2009
3;10;533131;SULLIVAN;Marco;1980;USA;2:32.37;0.39;11.47;3.39;Nordica;17.01.2009
4;13;510767;HOFFMANN;Ambrosi;1977;SUI;2:32.56;0.58;17.03;5.04;Head;17.01.2009
5;9;102899;OSBORNE−PARADIS;Manuel;1984;CAN;2:32.63;0.65;19.08;5.65;Rossignol;17.01.2009
6;8;350032;BUECHEL;Marco;1971;LIE;2:33.11;1.13;33.06;9.81;Head;17.01.2009
7;12;293006;INNERHOFER;Christof;1984;ITA;2:33.21;1.23;35.97;10.68;Rossignol;17.01.2009
8;2;102271;HUDEC;Jan;1981;CAN;2:33.23;1.25;36.55;10.86;Rossignol;17.01.2009
9;17;292455;FILL;Peter;1982;ITA;2:33.24;1.26;36.84;10.94;Atomic;17.01.2009
10;18;510030;CUCHE;Didier;1974;SUI;2:33.34;1.36;39.73;11.81;Head;17.01.2009
11;3;192746;THEAUX;Adrien;1984;FRA;2:33.65;1.67;48.69;14.5;Rossignol;17.01.2009
12;24;511313;JANKA;Carlo;1986;SUI;2:33.75;1.77;51.57;15.37;Atomic;17.01.2009
13;30;510993;ALBRECHT;Daniel;1983;SUI;2:33.80;1.82;53.01;15.81;Atomic;17.01.2009
14;23;102873;KUCERA;John;1984;CAN;2:33.86;1.88;54.74;16.33;Atomic;17.01.2009
15;22;421328;SVINDAL;Aksel Lund;1982;NOR;2:33.89;1.91;55.6;16.59;Atomic;17.01.2009
16;4;191964;POISSON;David;1982;FRA;2:34.01;2.03;59.05;17.63;Salomon;17.01.2009
17;14;560332;JERMAN;Andrej;1978;SLO;2:34.06;2.08;60.49;18.07;Stoeckli;17.01.2009
18;5;50858;STREITBERGER;Georg;1981;AUT;2:34.50;2.52;73.07;21.89;Fischer;17.01.2009
19;6;50451;GRUBER;Christoph;1976;AUT;2:34.56;2.58;74.78;22.41;Fischer;17.01.2009
20;1;51215;BAUMANN;Romed;1986;AUT;2:34.61;2.63;76.21;22.84;Salomon;17.01.2009
21;40;191116;DALCIN;Pierre−Emmanuel;1977;FRA;2:34.75;2.77;80.19;24.06;Atomic;17.01.2009
22;32;500150;JAERBYN;Patrik;1969;SWE;2:34.92;2.94;85.02;25.53;Atomic;17.01.2009
23;33;510890;ZURBRIGGEN;Silvan;1981;SUI;2:35.11;3.13;90.4;27.19;Rossignol;17.01.2009
24;34;201606;KEPPLER;Stephan;1983;GER;2:35.27;3.29;94.93;28.57;Head;17.01.2009
24;31;380260;KOSTELIC;Ivica;1979;CRO;2:35.27;3.29;94.93;28.57;Fischer;17.01.2009
26;26;50423;MAIER;Hermann;1972;AUT;2:35.37;3.39;97.75;29.44;Head;17.01.2009
26;20;50041;WALCHHOFER;Michael;1975;AUT;2:35.37;3.39;97.75;29.44;Atomic;17.01.2009
28;39;292291;THANEI;Stefan;1981;ITA;2:35.47;3.49;100.57;30.31;Atomic;17.01.2009
29;45;560447;SPORN;Andrej;1981;SLO;2:35.55;3.57;102.82;31.01;Elan;17.01.2009
30;54;530939;WEIBRECHT;Andrew;1986;USA;2:35.97;3.99;114.61;34.65;Rossignol;17.01.2009
31;58;201987;STRODL;Andreas;1987;GER;2:35.98;4;114.89;34.74;Atomic;17.01.2009
32;28;191591;BERTRAND;Yannick;1980;FRA;2:36.06;4.08;117.12;35.44;Dynastar;17.01.2009
33;57;103090;HELIE;Louis−Pierre;1986;CAN;2:36.32;4.34;124.38;37.69;Rossignol;17.01.2009
33;42;290998;STAUDACHER;Patrick;1980;ITA;2:36.32;4.34;124.38;37.69;Head;17.01.2009
35;61;533842;FRANCIS;Kevin;1982;USA;2:36.48;4.5;128.83;39.08;Atomic;17.01.2009
35;41;561067;PERKO;Rok;1985;SLO;2:36.48;4.5;128.83;39.08;Stoeckli;17.01.2009
37;25;501076;OLSSON;Hans;1984;SWE;2:36.54;4.56;130.5;39.61;Head;17.01.2009
38;11;292514;HEEL;Werner;1982;ITA;2:36.94;4.96;141.59;43.08;Rossignol;17.01.2009
39;46;510747;GRUENENFELDER;Tobias;1977;SUI;2:37.24;5.26;149.87;45.68;Stoeckli;17.01.2009
40;50;380292;ZRNCIC−DIM;Natko;1986;CRO;2:37.27;5.29;150.69;45.95;Atomic;17.01.2009
41;56;294277;KLOTZ;Siegmar;1987;ITA;2:37.36;5.38;153.17;46.73;Nordica;17.01.2009
42;53;291459;PARIS;Dominik;1989;ITA;2:37.42;5.44;154.82;47.25;Nordica;17.01.2009
43;51;201542;STRODL;Peter;1982;GER;2:37.44;5.46;155.37;47.42;Atomic;17.01.2009
44;49;511139;KUENG;Patrick;1984;SUI;2:37.47;5.49;156.19;47.68;Salomon;17.01.2009
45;63;501026;RAINER;Niklas;1983;SWE;2:38.35;6.37;180.22;55.33;Fischer;17.01.2009
46;59;51327;PUCHNER;Joachim;1987;AUT;2:38.36;6.38;180.49;55.41;Atomic;17.01.2009
47;37;192932;FAYED;Guillermo;1985;FRA;2:38.39;6.41;181.3;55.67;Dynastar;17.01.2009
48;36;50919;STRUGER;Peter;1982;AUT;2:38.83;6.85;193.21;59.49;Salomon;17.01.2009
49;43;533762;TRANSUE;Jeremy;1983;USA;2:39.00;7.02;197.8;60.97;Rossignol;17.01.2009
50;21;50753;KROELL;Klaus;1980;AUT;2:39.33;7.35;206.67;63.84;Salomon;17.01.2009
51;64;103375;NELLA;Tyler;1988;CAN;2:39.56;7.58;212.83;65.83;Unknown;17.01.2009
52;38;201811;STECHERT;Tobias;1985;GER;2:39.60;7.62;213.89;66.18;Head;17.01.2009
53;48;150421;ZAHROBSKY;Petr;1980;CZE;2:39.65;7.67;215.23;66.62;Head;17.01.2009
54;62;561085;KRIZAJ;Andrej;1986;SLO;2:39.83;7.85;220.03;68.18;Stoeckli;17.01.2009
55;65;220656;DRAKE;Edward;1986;GBR;2:39.92;7.94;222.43;68.96;Dynastar;17.01.2009
56;66;380298;SIROKI;Tin;1987;CRO;2:43.44;11.46;314.13;99.53;Atomic;17.01.2009
57;67;60159;VAN BUYNDER;Frederik;1988;BEL;2:45.43;13.45;364.24;116.82;Unknown;17.01.2009
1;20;532431;MILLER;Bode;1977;USA;2:30.40;0;0;0;Head;13.01.2008
2;22;510030;CUCHE;Didier;1974;SUI;2:31.05;0.65;19.28;5.83;Head;13.01.2008
3;15;102899;OSBORNE−PARADIS;Manuel;1984;CAN;2:31.73;1.33;39.27;11.94;Rossignol;13.01.2008
4;18;50041;WALCHHOFER;Michael;1975;AUT;2:31.77;1.37;40.44;12.3;Atomic;13.01.2008
5;10;50695;BUDER;Andreas;1979;AUT;2:32.16;1.76;51.82;15.8;Head;13.01.2008
6;16;560332;JERMAN;Andrej;1978;SLO;2:32.26;1.86;54.73;16.7;Stoeckli;13.01.2008
7;23;533131;SULLIVAN;Marco;1980;USA;2:32.34;1.94;57.05;17.41;Nordica;13.01.2008
8;9;291641;SULZENBACHER;Kurt;1976;ITA;2:32.44;2.04;59.95;18.31;Fischer;13.01.2008
9;13;50423;MAIER;Hermann;1972;AUT;2:32.57;2.17;63.72;19.48;Head;13.01.2008
10;1;50858;STREITBERGER;Georg;1981;AUT;2:32.75;2.35;68.92;21.09;Fischer;13.01.2008
11;8;533866;NYMAN;Steven;1982;USA;2:32.80;2.4;70.37;21.54;Fischer;13.01.2008
12;11;510767;HOFFMANN;Ambrosi;1977;SUI;2:32.82;2.42;70.94;21.72;Head;13.01.2008
13;27;290998;STAUDACHER;Patrick;1980;ITA;2:32.97;2.57;75.27;23.07;Head;13.01.2008
14;17;350032;BUECHEL;Marco;1971;LIE;2:32.98;2.58;75.55;23.16;Head;13.01.2008
15;3;292514;HEEL;Werner;1982;ITA;2:33.00;2.6;76.13;23.34;Rossignol;13.01.2008
16;7;50753;KROELL;Klaus;1980;AUT;2:33.07;2.67;78.14;23.97;Salomon;13.01.2008
17;12;510727;DEFAGO;Didier;1977;SUI;2:33.09;2.69;78.72;24.15;Rossignol;13.01.2008
18;14;50451;GRUBER;Christoph;1976;AUT;2:33.38;2.98;87.04;26.75;Fischer;13.01.2008
19;28;102873;KUCERA;John;1984;CAN;2:33.48;3.08;89.9;27.65;Atomic;13.01.2008
20;29;191116;DALCIN;Pierre−Emmanuel;1977;FRA;2:33.51;3.11;90.76;27.92;Atomic;13.01.2008
20;6;191591;BERTRAND;Yannick;1980;FRA;2:33.51;3.11;90.76;27.92;Dynastar;13.01.2008
22;21;292455;FILL;Peter;1982;ITA;2:33.52;3.12;91.05;28.01;Dynastar;13.01.2008
23;33;561067;PERKO;Rok;1985;SLO;2:33.63;3.23;94.19;28.99;Stoeckli;13.01.2008
24;32;501076;OLSSON;Hans;1984;SWE;2:33.65;3.25;94.76;29.17;Head;13.01.2008
25;30;532490;MACARTNEY;Scott;1978;USA;2:33.71;3.31;96.47;29.71;Nordica;13.01.2008
25;2;191740;CLAREY;Johan;1981;FRA;2:33.71;3.31;96.47;29.71;Rossignol;13.01.2008
27;24;510993;ALBRECHT;Daniel;1983;SUI;2:33.74;3.34;97.33;29.98;Atomic;13.01.2008
28;45;291389;FISCHNALLER;Roland;1975;ITA;2:33.78;3.38;98.47;30.34;Head;13.01.2008
29;38;201606;KEPPLER;Stephan;1983;GER;2:33.80;3.4;99.04;30.52;Head;13.01.2008
30;5;293006;INNERHOFER;Christof;1984;ITA;2:33.82;3.42;99.61;30.7;Rossignol;13.01.2008
31;19;102263;GUAY;Erik;1981;CAN;2:33.94;3.54;103.02;31.78;Atomic;13.01.2008
32;4;191415;BOTTOLLIER−LASQUIN;Marc;1979;FRA;2:34.06;3.66;106.43;32.85;Dynastar;13.01.2008
33;34;510498;ZUEGER;Cornel;1981;SUI;2:34.30;3.9;113.23;35.01;Stoeckli;13.01.2008
34;35;510165;HOFER;Beni;1978;SUI;2:34.31;3.91;113.52;35.1;Head;13.01.2008
35;26;192746;THEAUX;Adrien;1984;FRA;2:34.47;4.07;118.04;36.53;Rossignol;13.01.2008
36;48;510969;BONETTI;Michael;1982;SUI;2:34.50;4.1;118.89;36.8;Head;13.01.2008
36;44;380292;ZRNCIC−DIM;Natko;1986;CRO;2:34.50;4.1;118.89;36.8;Atomic;13.01.2008
38;31;191964;POISSON;David;1982;FRA;2:34.64;4.24;122.83;38.06;Salomon;13.01.2008
39;54;420911;SOLBAKKEN;Bjarne;1977;NOR;2:34.70;4.3;124.52;38.6;Nordica;13.01.2008
40;43;510207;HARI;Konrad;1978;SUI;2:34.77;4.37;126.49;39.23;Salomon;13.01.2008
41;46;292291;THANEI;Stefan;1981;ITA;2:34.82;4.42;127.9;39.67;Dynastar;13.01.2008
42;36;102814;BOURQUE;Francois;1984;CAN;2:35.02;4.62;133.52;41.47;Salomon;13.01.2008
43;25;510747;GRUENENFELDER;Tobias;1977;SUI;2:35.07;4.67;134.92;41.92;Stoeckli;13.01.2008
44;51;50742;REICHELT;Hannes;1980;AUT;2:35.38;4.98;143.59;44.7;Fischer;13.01.2008
45;47;201439;STEHLE;Johannes;1981;GER;2:35.64;5.24;150.83;47.03;Head;13.01.2008
46;40;220228;MICKEL;Finlay;1977;GBR;2:35.82;5.42;155.83;48.65;Atomic;13.01.2008
47;56;201811;STECHERT;Tobias;1985;GER;2:35.94;5.54;159.16;49.73;Head;13.01.2008
48;53;292967;EISATH;Florian;1984;ITA;2:36.05;5.65;162.2;50.71;Atomic;13.01.2008
49;37;192932;FAYED;Guillermo;1985;FRA;2:36.06;5.66;162.48;50.8;Unknown;13.01.2008
50;52;501026;RAINER;Niklas;1983;SWE;2:36.59;6.19;177.09;55.56;Fischer;13.01.2008
51;55;501230;ERICSSON;Daniel;1987;SWE;2:37.75;7.35;208.74;65.97;Unknown;13.01.2008
52;49;293141;VARETTONI;Silvano;1984;ITA;2:38.14;7.74;219.27;69.47;Atomic;13.01.2008
53;57;60159;VAN BUYNDER;Frederik;1988;BEL;2:42.27;11.87;327.71;106.55;Unknown;13.01.2008
